机构原始名称,机构译名,机构标准名,规则来源,备注,映射方式
SINOPEC Research Institute of Petroleum Processing,中国石化石油化工科学研究院,中国石油化工股份有限公司,用户复核,企业研究院归并至母公司
Shanghai Inst Technol,上海应用技术大学,上海应用技术大学,用户复核并核名,采用学校现用官方中文名
中国石油大学化学工程学院,中国石油大学化学工程学院,中国石油大学（北京）,用户复核,未注明华东时默认归并北京
中国地质大学资源学院,中国地质大学资源学院,中国地质大学（武汉）,用户复核,按学院隶属校区归并
中国石油大学理学院,中国石油大学理学院,中国石油大学（北京）,用户复核,未注明华东时默认归并北京
中国石油大学机械与储运工程学院,中国石油大学机械与储运工程学院,中国石油大学（北京）,用户复核,未注明华东时默认归并北京
Natl Inst Technol,美国国家标准与技术研究院,美国国家标准与技术研究院,用户复核并核名,按当前任务口径统一为美国国家标准与技术研究院
Inst Chem Technol,印度化学技术学院,印度化学技术学院,用户复核并核名,按 Institute of Chemical Technology 译名统一
中国石油大学地球科学学院,中国石油大学地球科学学院,中国石油大学（北京）,用户复核,未注明华东时默认归并北京
中国地质大学能源学院,中国地质大学能源学院,中国地质大学（北京）,用户复核,按学院隶属校区归并
Natl Tech Univ Athens,希腊雅典国立理工大学,希腊雅典国立理工大学,用户复核并核名,按学校官方英文名统一
Institute of Geology and Geophysics,中国科学院地质与地球物理研究所,中国科学院,用户复核并核名,中科院下属研究所归并至中国科学院
Natl Energy Technol Lab,美国国家能源技术实验室,美国国家能源技术实验室,用户复核并核名,美国能源部国家实验室
中国石油大学重质油国家重点实验室,重质油国家重点实验室,重质油国家重点实验室,用户复核,独立科研平台保留平台级标准名
中国石油大学储运与建筑工程学院,中国石油大学储运与建筑工程学院,中国石油大学（北京）,用户复核,未注明华东时默认归并北京
Univ Sci & Technol,中国科学技术大学,中国科学技术大学,用户复核,按当前高频语境归并至中科大
Exploration and Development Research Institute,中国石油勘探开发研究院,中国石油天然气股份有限公司,当前正式口径,企业研究院归并至母公司
Harbin Engn Univ,哈尔滨工程大学,哈尔滨工程大学,官网核名,学校官方英文名为 Harbin Engineering University
China Three Gorges Univ,三峡大学,三峡大学,官网核名,学校官方英文名为 China Three Gorges University
Sichuan Univ Sci & Engn,四川轻化工大学,四川轻化工大学,官网核名,学校现用官方中文名
Univ Fed Ceara,塞阿拉联邦大学,塞阿拉联邦大学,官网核名,官方葡文名为 Universidade Federal do Ceará
Univ Vigo,维戈大学,维戈大学,官网核名,学校官方英文名为 University of Vigo
Univ Strasbourg,斯特拉斯堡大学,斯特拉斯堡大学,官网核名,学校官方英文名为 University of Strasbourg
Univ Limerick,利默里克大学,利默里克大学,官网核名,学校官方英文名为 University of Limerick
Michigan Technol Univ,密歇根理工大学,密歇根理工大学,官网核名,学校官方英文名为 Michigan Technological University
Natl Res Council Canada,加拿大国家研究委员会,加拿大国家研究委员会,官网核名,加拿大联邦政府科研机构
Beijing Inst Petrochem Technol,北京石油化工学院,北京石油化工学院,官网核名,学校官方英文名为 Beijing Institute of Petrochemical Technology
Ulsan Natl Inst Sci & Technol,蔚山科学技术院,蔚山科学技术院,官网核名,学校官方英文名为 Ulsan National Institute of Science and Technology
Univ Fed Sao Carlos,圣卡洛斯联邦大学,圣卡洛斯联邦大学,官网核名,官方葡文名为 Universidade Federal de São Carlos
Zhejiang A&F Univ,浙江农林大学,浙江农林大学,官网核名,学校官方英文名为 Zhejiang A&F University
China Natl Offshore Oil Corp,中国海洋石油集团有限公司,中国海洋石油集团有限公司,官网核名,官方英文名对应集团母公司
CNOOC Res Inst Co Ltd,中海油研究总院有限责任公司,中国海洋石油有限公司,官网核名并归并,研究机构归并至中国海油有限公司
CNOOC Ltd,中国海洋石油有限公司,中国海洋石油有限公司,官网核名,按公司官方中英文名统一
Tianjin Branch of CNOOC Ltd,中国海洋石油有限公司天津分公司,中国海洋石油有限公司,官网核名并归并,分公司归并至中国海油有限公司
Tarim Oilfield Company,中国石油塔里木油田公司,中国石油天然气股份有限公司,官网核名并归并,油田公司归并至中国石油天然气股份有限公司
PetroChina Southwest Oil & Gasfield Co,中国石油西南油气田公司,中国石油天然气股份有限公司,官网核名并归并,油气田公司归并至中国石油天然气股份有限公司
PetroChina Southwest Oil & Gas Field Co,中国石油西南油气田公司,中国石油天然气股份有限公司,官网核名并归并,油气田公司归并至中国石油天然气股份有限公司
PetroChina Co Ltd,中国石油天然气股份有限公司,中国石油天然气股份有限公司,官网核名,按公司官方中英文名统一
China University of Geosciences(Wuhan),中国地质大学（武汉）,中国地质大学（武汉）,官网核名,学校官方英文名含校区
China University of Geosciences (Wuhan),中国地质大学（武汉）,中国地质大学（武汉）,官网核名,学校官方英文名含校区
Nanjing Agr Univ,南京农业大学,南京农业大学,高频补齐,高频缩写人工补齐
Aix Marseille Univ,艾克斯-马赛大学,艾克斯-马赛大学,高频补齐,高频缩写人工补齐
Univ Grenoble Alpes,格勒诺布尔-阿尔卑斯大学,格勒诺布尔-阿尔卑斯大学,高频补齐,高频缩写人工补齐
Chungbuk Natl Univ,忠北国立大学,忠北国立大学,高频补齐,高频缩写人工补齐
King Khalid Univ,哈立德国王大学,哈立德国王大学,高频补齐,高频缩写人工补齐
Univ Oulu,奥卢大学,奥卢大学,高频补齐,高频缩写人工补齐
Loughborough Univ,拉夫堡大学,拉夫堡大学,高频补齐,高频缩写人工补齐
Kangwon Natl Univ,江原国立大学,江原国立大学,高频补齐,高频缩写人工补齐
Hamburg Univ Technol,汉堡工业大学,汉堡工业大学,高频补齐,高频缩写人工补齐
Univ Glasgow,格拉斯哥大学,格拉斯哥大学,高频补齐,高频缩写人工补齐
China Pharmaceut Univ,中国药科大学,中国药科大学,高频补齐,高频缩写人工补齐
Univ Fed Rio Grande do Norte,北大河州联邦大学,北大河州联邦大学,高频补齐,高频缩写人工补齐
Univ Fed Sao Carlos,圣卡洛斯联邦大学,圣卡洛斯联邦大学,官网核名,重复项用于稳定覆盖
Idaho Natl Lab,爱达荷国家实验室,爱达荷国家实验室,高频补齐,高频缩写人工补齐
Univ Nottingham Ningbo China,宁波诺丁汉大学,宁波诺丁汉大学,高频补齐,高频缩写人工补齐
Taiyuan Univ Sci & Technol,太原科技大学,太原科技大学,高频补齐,高频缩写人工补齐
TU Dortmund Univ,多特蒙德工业大学,多特蒙德工业大学,高频补齐,高频缩写人工补齐
Nanjing Univ Technol,南京工业大学,南京工业大学,高频补齐,高频缩写人工补齐
Korea Inst Sci & Technol KIST,韩国科学技术研究院,韩国科学技术研究院,高频补齐,高频缩写人工补齐
Karlsruhe Inst Technol KIT,卡尔斯鲁厄理工学院,卡尔斯鲁厄理工学院,高频补齐,高频缩写人工补齐
Royal Inst Technol,瑞典皇家理工学院,瑞典皇家理工学院,高频补齐,高频缩写人工补齐
Beijing Technol & Business Univ,北京工商大学,北京工商大学,高频补齐,高频缩写人工补齐
Vellore Inst Technol,韦洛尔理工学院,韦洛尔理工学院,高频补齐,高频缩写人工补齐
Univ Texas Arlington,得克萨斯大学阿灵顿分校,得克萨斯大学阿灵顿分校,高频补齐,高频缩写人工补齐
Vrije Univ Brussel,布鲁塞尔自由大学,布鲁塞尔自由大学,高频补齐,高频缩写人工补齐
Univ Oviedo,奥维耶多大学,奥维耶多大学,高频补齐,高频缩写人工补齐
Univ Minho,米尼奥大学,米尼奥大学,高频补齐,高频缩写人工补齐
Univ Ulsan,蔚山大学,蔚山大学,高频补齐,高频缩写人工补齐
