机构原始名称,总频次,CNKI频次,WOS频次,CSCD频次,机构译名,机构标准名,候选生成方式,复核原因
Northeastern Univ,796,0,796,0,东北大学（美国）,东北大学（美国）,人工规范名匹配,同名机构已按原英文名区分国家，建议抽样复核
Univ Nottingham,580,0,580,0,诺丁汉大学,诺丁汉大学,人工规范名匹配,同名机构已按原英文名区分国家，建议抽样复核
Inst Chem Technol,409,0,409,0,印度化学技术学院,印度化学技术学院,缩写释义待判定,缩写信息不足，需结合原始地址或国家字段复核
CSIR,350,0,350,0,印度科学与工业研究理事会,印度科学与工业研究理事会,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
Queens Univ,231,0,231,0,女王大学（加拿大）,女王大学（加拿大）,人工精确匹配,缩写信息不足，需结合原始地址或国家字段复核
Univ Sci & Technol,197,0,197,0,中国科学技术大学,中国科学技术大学,人工精确匹配,缩写信息不足，需结合原始地址或国家字段复核；同名机构已按原英文名区分国家，建议抽样复核
China University of Geosciences,169,21,7,141,中国地质大学,中国地质大学,人工精确匹配,缩写信息不足，需结合原始地址或国家字段复核
Swinburne Univ Technol,144,0,144,0,斯威本科技大学,斯威本科技大学,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
IIT,137,0,137,0,印度理工学院,印度理工学院,人工规范名匹配,同名机构已按原英文名区分国家，建议抽样复核
China Med Univ,105,0,105,0,中国医科大学,中国医科大学,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
Natl Univ Sci & Technol,69,0,69,0,国立科学技术大学,国立科学技术大学（巴基斯坦）,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
Univ Los Andes,66,0,66,0,洛斯安第斯大学（智利）,洛斯安第斯大学（智利）,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
Dong A Univ,50,0,50,0,东亚大学（韩国）,东亚大学（韩国）,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
Govt Coll Univ,42,0,42,0,政府学院大学（巴基斯坦待区分校区）,政府学院大学（巴基斯坦待区分校区）,人工复核回灌,标准名含待区分标记，需继续人工判定；人工回灌条目仍存在歧义，需保留在复核队列
Minist Sci & Technol,35,0,35,0,中国科学技术部,中国科学技术部,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
EPRI,33,0,33,0,美国电力科学研究院,美国电力科学研究院,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
Fed Univ Technol,28,0,28,0,联邦理工大学（尼日利亚待区分校区）,联邦理工大学（尼日利亚待区分校区）,人工复核回灌,同名机构已按原英文名区分国家，建议抽样复核；标准名含待区分标记，需继续人工判定；人工回灌条目仍存在歧义，需保留在复核队列
Natl Def Univ,26,0,26,0,国防大学（美国）,国防大学（美国）,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
Dept Chem Engn,21,0,21,0,化学工程系,化学工程系（待区分所属机构）,人工复核回灌,同名机构已按原英文名区分国家，建议抽样复核；标准名含待区分标记，需继续人工判定；人工回灌条目仍存在歧义，需保留在复核队列
Islamic Univ,21,0,21,0,伊斯兰大学（中东待区分国家）,伊斯兰大学（中东待区分国家）,人工复核回灌,同名机构已按原英文名区分国家，建议抽样复核；标准名含待区分标记，需继续人工判定；人工回灌条目仍存在歧义，需保留在复核队列
Univ Technol,20,0,20,0,伊拉克科技大学,伊拉克科技大学,人工精确匹配,同名机构已按原英文名区分国家，建议抽样复核
