rank_top100,institution_norm,count,cnki_count,wos_count,cscd_count
1,中国石油大学（北京）,14335,5777,6362,2196
2,中国科学院,12911,1050,11542,319
3,中国石油化工股份有限公司,9913,7404,1531,978
4,中国石油天然气股份有限公司,9488,2635,3450,3403
5,西南石油大学,6488,2681,2122,1685
6,中国石油大学（华东）,4896,469,2631,1796
7,中国科学院大学,4753,8,4708,37
8,清华大学,4210,77,4104,29
9,浙江大学,3934,33,3819,82
10,天津大学,3931,24,3857,50
11,华东理工大学,3446,247,3031,168
12,中国地质大学,3260,884,2153,223
13,中国矿业大学,2997,215,2673,109
14,西安交通大学,2898,44,2850,4
15,北京化工大学,2844,316,2396,132
16,成都理工大学,2755,1079,794,882
17,四川大学,2739,15,2697,27
18,上海交通大学,2721,55,2652,14
19,华中科技大学,2682,35,2638,9
20,大连理工大学,2526,162,2317,47
21,哈尔滨工业大学,2513,48,2447,18
22,华南理工大学,2370,83,2255,32
23,中国科学技术大学,2283,33,2235,15
24,东北石油大学,2268,979,751,538
25,俄罗斯科学院,2233,0,2233,0
26,中国海洋石油有限公司,2020,361,465,1194
27,中国石油勘探开发研究院,2003,393,37,1573
28,东南大学,1903,0,1892,11
29,西安石油大学,1884,1069,481,334
30,重庆大学,1882,3,1866,13
31,南京工业大学,1823,141,1629,53
32,同济大学,1720,34,1602,84
33,辽宁石油化工大学,1695,1265,258,172
34,中国地质大学（北京）,1689,546,541,602
35,太原理工大学,1669,53,1569,47
36,中南大学,1663,10,1614,39
37,吉林大学,1603,41,1386,176
38,阿尔伯塔大学,1583,2,1573,8
39,印度理工学院,1568,0,1568,0
40,江苏大学,1503,9,1472,22
41,山东大学,1497,4,1479,14
42,北京理工大学,1422,24,1388,10
43,新加坡国立大学,1420,0,1420,0
44,湖南大学,1397,5,1390,2
45,得克萨斯大学奥斯汀分校,1363,5,1349,9
46,长江大学,1358,225,672,461
47,青岛科技大学,1356,222,969,165
48,卡尔加里大学,1322,2,1310,10
49,北京大学,1294,43,1118,133
50,得克萨斯农工大学,1246,0,1239,7
51,中山大学,1244,13,1202,29
52,郑州大学,1243,16,1209,18
53,帝国理工学院,1242,1,1240,1
54,华北电力大学,1212,12,1198,2
55,南京大学,1204,16,1133,55
56,丹麦技术大学,1154,0,1154,0
57,中国石油天然气集团有限公司,1151,55,908,188
58,北京科技大学,1136,79,1021,36
59,山东科技大学,1108,93,938,77
60,香港理工大学,1072,1,1070,1
61,南京理工大学,1043,36,958,49
62,浙江工业大学,1035,44,965,26
63,广东工业大学,1020,9,1004,7
64,厦门大学,986,1,981,4
65,南京林业大学,984,5,975,4
66,中国教育部,968,0,968,0
67,南洋理工大学,936,0,936,0
68,法赫德国王石油与矿业大学,928,0,923,5
69,中海油研究总院,918,685,158,75
70,挪威科技大学,913,0,913,0
71,河北工业大学,910,106,738,66
72,西北大学,910,67,688,155
73,宾夕法尼亚州立大学,900,4,896,0
74,代尔夫特理工大学,899,0,897,2
75,科廷大学,899,0,893,6
76,福州大学,898,4,883,11
77,伊斯兰阿扎德大学,892,1,889,2
78,昆明理工大学,882,18,848,16
79,南开大学,868,2,860,6
80,昆士兰大学,864,1,863,0
81,广西大学,859,2,852,5
82,武汉理工大学,852,24,817,11
83,武汉大学,840,8,818,14
84,高丽大学,825,0,825,0
85,东北大学（美国）,814,6,798,10
86,蒙纳士大学,812,0,811,1
87,亚琛工业大学,790,0,790,0
88,深圳大学,773,0,772,1
89,常州大学,768,47,639,82
90,佐治亚理工学院,759,0,759,0
91,新南威尔士大学,758,0,755,3
92,江南大学,757,7,741,9
93,香港城市大学,752,0,752,0
94,苏州大学,748,2,745,1
95,河南理工大学,746,55,644,47
96,中国矿业大学（北京）,742,12,647,83
97,德黑兰大学,740,0,737,3
98,北京工业大学,722,27,676,19
99,东华大学,712,2,708,2
100,阿卜杜拉国王科技大学,695,0,695,0
