榜单类型,榜内排名,标准化机构名称,主属国家/地区,TOPSIS综合排名,得分指标,得分值,备注
综合排名,1,中国科学院,中国,1,TOPSIS综合得分,0.793235,
综合排名,2,中国石油大学（北京）,中国,2,TOPSIS综合得分,0.755086,
综合排名,3,中国石油化工股份有限公司,中国,3,TOPSIS综合得分,0.560668,
综合排名,4,中国石油天然气股份有限公司,中国,4,TOPSIS综合得分,0.547276,
综合排名,5,西南石油大学,中国,5,TOPSIS综合得分,0.384529,
综合排名,6,中国科学院大学,中国,6,TOPSIS综合得分,0.348506,
综合排名,7,中国石油大学（华东）,中国,7,TOPSIS综合得分,0.33376,
综合排名,8,清华大学,中国,8,TOPSIS综合得分,0.324022,
综合排名,9,天津大学,中国,9,TOPSIS综合得分,0.301111,
综合排名,10,浙江大学,中国,10,TOPSIS综合得分,0.296226,
科研产出维度,1,中国科学院,中国,1,科研产出子得分,0.835071,该机构在该维度与综合排名上均表现突出
科研产出维度,2,中国石油大学（北京）,中国,2,科研产出子得分,0.753118,该机构在该维度与综合排名上均表现突出
科研产出维度,3,中国石油天然气股份有限公司,中国,4,科研产出子得分,0.480744,该机构在该维度与综合排名上均表现突出
科研产出维度,4,中国石油化工股份有限公司,中国,3,科研产出子得分,0.463979,该机构在该维度与综合排名上均表现突出
科研产出维度,5,中国科学院大学,中国,6,科研产出子得分,0.450859,该机构在该维度与综合排名上均表现突出
科研产出维度,6,清华大学,中国,8,科研产出子得分,0.384337,
科研产出维度,7,四川大学,中国,27,科研产出子得分,0.38188,该机构在该维度表现明显优于其综合排名
科研产出维度,8,天津大学,中国,9,科研产出子得分,0.380265,
科研产出维度,9,中国石油大学（华东）,中国,7,科研产出子得分,0.373123,
科研产出维度,10,浙江大学,中国,10,科研产出子得分,0.367863,
学术影响维度,1,湖南大学,中国,29,学术影响子得分,0.835363,该机构在该维度表现明显优于其综合排名
学术影响维度,2,新加坡国立大学,新加坡,11,学术影响子得分,0.792103,该机构在该维度与综合排名上均表现突出
学术影响维度,3,中国科学院,中国,1,学术影响子得分,0.751752,该机构在该维度与综合排名上均表现突出
学术影响维度,4,华南理工大学,中国,26,学术影响子得分,0.717687,该机构在该维度表现明显优于其综合排名
学术影响维度,5,江苏大学,中国,41,学术影响子得分,0.668067,该机构在该维度表现明显优于其综合排名
学术影响维度,6,清华大学,中国,8,学术影响子得分,0.633542,
学术影响维度,7,香港城市大学,中国,40,学术影响子得分,0.627035,该机构在该维度表现明显优于其综合排名
学术影响维度,8,科廷大学,澳大利亚,21,学术影响子得分,0.61044,
学术影响维度,9,蒙纳士大学,澳大利亚,18,学术影响子得分,0.59903,
学术影响维度,10,佐治亚理工学院,美国,34,学术影响子得分,0.594277,该机构在该维度表现明显优于其综合排名
合作与国际化维度,1,帝国理工学院,英国,13,合作与国际化子得分,0.795339,该机构在该维度与综合排名上均表现突出
合作与国际化维度,2,南洋理工大学,新加坡,12,合作与国际化子得分,0.785468,该机构在该维度与综合排名上均表现突出
合作与国际化维度,3,昆士兰大学,澳大利亚,14,合作与国际化子得分,0.780567,该机构在该维度与综合排名上均表现突出
合作与国际化维度,4,阿卜杜拉国王科技大学,沙特阿拉伯,20,合作与国际化子得分,0.773315,该机构在该维度与综合排名上均表现突出
合作与国际化维度,5,蒙纳士大学,澳大利亚,18,合作与国际化子得分,0.728969,该机构在该维度与综合排名上均表现突出
合作与国际化维度,6,丹麦技术大学,丹麦,22,合作与国际化子得分,0.711364,
合作与国际化维度,7,代尔夫特理工大学,荷兰,24,合作与国际化子得分,0.705313,
合作与国际化维度,8,科廷大学,澳大利亚,21,合作与国际化子得分,0.687784,
合作与国际化维度,9,新加坡国立大学,新加坡,11,合作与国际化子得分,0.669845,
合作与国际化维度,10,挪威科技大学,挪威,33,合作与国际化子得分,0.665306,该机构在该维度表现明显优于其综合排名
